Key,Description,Standard,EN,ES
SAY.FeelingsTravelerLocalization.1.,,"Vaya, ya ha amanecido...","Oh, it is already morning...",¿Dónde estoy?...
SAY.FeelingsTravelerLocalization.2.,,Será mejor que me ponga en marcha.,I should move on.,Será mejor que investigue un poco la zona.
SAY.FeelingsTravelerLocalization.10.,,¡¡¿¿QUÉ QUIERES??!!,WHAT DO YOU WANT??!!,����QU� QUIERES??!!
SAY.FeelingsTravelerLocalization.93.,,"Lo han roto, ¿me oyes? !!Lo han roto!!",They have broken it. Do you hear me?! It is broken!!,"Lo han roto, �me oyes? !!Lo han roto!!"
SAY.FeelingsTravelerLocalization.90.,,¡¡¿¿QUÉ QUIERES??!!,,
SAY.FeelingsTravelerLocalization.9.,,No me importa que se haya asustado. Es culpa suya que el jarrón haya acabado así.,I don't mind if she got scared. It is her her fault the jar have ended up like that.,Conoces el miedo
SAY.FeelingsTravelerLocalization.91.,,¡¡¿¿QUÉ QUIERES??!!,,
SAY.FeelingsTravelerLocalization.11.,,¿Qué está llorando por lo que ha pasado? Eso no arreglará el jarrón.,Is he crying because what have happened? That won't solve the jar.,�Que est� llorando por lo que ha pasado? Eso no arreglar� el jarr�n.
SAY.FeelingsTravelerLocalization.92.,,¡¡¿¿QUÉ QUIERES??!!,,
SAY.FeelingsTravelerLocalization.33.,,"Por muy asustados o tristes que estén, ellos han sido los causantes de todos esto. Que ahora no vengan con excusas.",6,Conoces ambas
SAY.FeelingsTravelerLocalization.94.,,Era el único recuerdo que nos quedaba de ella.. ¡¡Y AHORA ESTÁ HECHO PEDAZOS!!,,
SAY.FeelingsTravelerLocalization.95.,,¿Qué? ¿Dónde está? Había traído un pedazo conmigo y ahora no está. ¡MALDICIÓN!,,
SAY.FeelingsTravelerLocalization.99.,,Seguro que se ha caído cerca de uno de estos malditos árboles resecos...,,
SAY.FeelingsTravelerLocalization.49.,,"¿Has encontrado algo amigo? Vale, te sigo.",,
SAY.FeelingsTravelerLocalization.100.,,¡LO HAS ENCONTRADO!,,
SAY.FeelingsTravelerLocalization.102.,,"Muchas gracias, a ti y a tu pequeño amigo volador.",,
SAY.FeelingsTravelerLocalization.101.,,"Lo he estado pensando.. Y tal vez me haya pasado con los chicos. Me he enfadado demasiado, cuando no era su intención romperlo.",,
SAY.FeelingsTravelerLocalization.103.,,Será mejor que vuelvav y me discuple con ellos... ,,
SAY.FeelingsTravelerLocalization.71.,,"¿Has encontrado algo amigo? Vale, te sigo.",,
SAY.FeelingsTravelerLocalization.75.,,"¿Has encontrado algo amigo? Vale, te sigo.",,
SAY.FeelingsTravelerLocalization.79.,,"¿Has encontrado algo amigo? Vale, te sigo.",,
SAY.FeelingsTravelerLocalization.83.,,"¿Has encontrado algo amigo? Vale, te sigo.",,
CHARACTER.,,,,
